dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage
Standorte der Verkaufs- und Servicestellen ÖPNV,ÖPNV - Vertriebsstellen,ÖPNV,Vertriebsstellen,"Der Datensatz enthält die Standorte der Fahrkartenverkaufsstellen und Servicecenter für den ÖPNV (Bus, Straßen- und Stadtbahn).",eb5e3398-dc56-4115-82bc-eb8f6f99a41d,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:03:43.410157,Bonn,https://open.nrw/dataset/standorte-der-verkaufs-und-servicestellen-oepnv-bn
Standorte der Fahrkartenautomaten ÖPNV,ÖPNV - Vertriebsstellen,ÖPNV,Vertriebsstellen,Der Datensatz enthält die Standorte der Fahrkartenautomaten für den öffentlichen Personennahverkehr im Stadtgebiet Bonn (Ticketautomaten Bus und Straßen- und Stadtbahn).,cdbad9da-bd58-40e7-8d16-2e148a2b10bc,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:03:39.107374,Bonn,https://open.nrw/dataset/standorte-der-fahrkartenautomaten-oepnv-bn
Barrierefreie Haltestellen Bus und Bahn,ÖPNV - Haltestellen,ÖPNV,Haltestellen,Die Datensätze umfassen die Standorte der barrierefreien Bus- und Bahnhaltestellen im Bonner Stadtgebiet.,6d9b337f-3375-40fe-a47d-69b10cf9467c,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:03:35.007279,Bonn,https://open.nrw/dataset/barrierefreie-haltestellen-bus-und-bahn-bn
Fahrradmessstellen Ergebnisse Radzählungen 2018,Radverkehr - Messstellen,Radverkehr,Messstellen,"Der Datensatz enthält die Messergebnisse der Fahrradzählungen aller städtischen Dauerzählstellen im Bonner Stadtgebiet. Mit diesen Daten kann genau festgestellt werden, wann wie viele Radfahrerinnen und Radfahrer an diesen Orten unterwegs gewesen sind. Die Messergebnisse sind im 15 Minuten-Rhythmus erfasst. Die jeweiligen Standorte der Dauerzählstellen sind in der Datei Standortdaten sowie als eigenes Datenthema mit einem Geo-Datensatz abrufbar.",ac015417-15eb-4307-98ed-17f47ae28473,Creative Commons CC Zero License (cc-zero),Verkehr,2020-01-22T11:03:30.577160,Bonn,https://open.nrw/dataset/fahrradmessstellen-ergebnisse-radzaehlungen-2018-bn
Europawahl 2019 Straßenverzeichnis,Wahlen - Straßen,Wahlen,Straßen,Informationen zur Zuordnung von Straßen/-Bereichen zu den Wahlbezirken.,be3462bb-c320-4b15-a9c6-f5652331ae07,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:03:26.390771,Bonn,https://open.nrw/dataset/europawahl-2019-strassenverzeichnis-bn
Europawahl 2019 Wahllokale,Wahlen - Wahllokale,Wahlen,Wahllokale,Informationen zu den Stimmbezirken und Wahlräumen der Europwahl 2019. Weitere Informationen und Erläuterungen zu den Wahldaten siehe: http://wahlen.bonn.de/wahlen/EW2019/05314000/html5/OpenDataInfo.html,e85c5753-c0eb-4912-b5ab-93b8b463eeef,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:03:17.551361,Bonn,https://open.nrw/dataset/europawahl-2019-wahllokale-bn
Europawahl 2019,Wahlen - Wahlergebnis Europawahlen,Wahlen,Wahlergebnis Europawahlen,"Die Wahlergebnisse können am Wahlabend laufend und aktuell in einem standardisierten Format abgerufen werden, z. B. um automatisch weiterverarbeitet zu werden.Der Abruf der Wahlergebnisse ist zu verschiedene Gebiets-Ebenen möglich. Von der untersten Ebene (Stimmbezirke) über Wahlbezirke und Ortsteile bis hin zur Ebene der Stadt bzw. Gemeinde, des Kreises und des Wahlkreises. Dabei sind jedoch nicht alle Ebenen für jeden Wahltyp notwendig. Für jede der Gebiets-Ebenen gibt es eine Datei mit der Übersicht derjenigen Gebiete mit bereits eingegangenen Schnellmeldungen. Weitere Informationen und Erläuterungen zu den Wahldaten siehe: http://wahlen.bonn.de/wahlen/EW2019/05314000/html5/OpenDataInfo.html",3832921d-71db-42de-9f53-c43aed51c3a4,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:03:09.274121,Bonn,https://open.nrw/dataset/europawahl-2019-bn
Öffnungseiten der Stadtverwaltung Bonn,Behörden - Einrichtungen,Behörden,Einrichtungen,Die API gibt die Öffnungszeiten der Ämter der Stadtverwaltung Bonn aus.,406a3c57-a00b-4789-8444-c4788fe93b1d,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:03:00.937923,Bonn,https://open.nrw/dataset/oeffnungseiten-der-stadtverwaltung-bonn-bn
Bestandszahlen Fahrzeugzulassungen (KFZ) 2018,Individualverkehr - KFZ-Bestand,Individualverkehr,KFZ-Bestand,"Die Tabellenblätter enthalten die monatlichen KFZ Bestandzahlen für das Jahr 2018 für PKW, LKW, Krad, Quad, Trike, Busse, Anhänger, landwirtschaftliche Fahrzeuge und Wohnmobile. Die Tabellen sind aufgeteilt nach Benutzern, Antriebsarten Elektro, Benzin, Diesel,Schadstoffarmstufen, Euro6 Fahrzeuge, Fahrzeugfarben, Zulassung nach Postleitzahlen, Fahrzeugarten nach Postleitzahlen/ Stadtbezirke, Fahrzeughersteller motorisierter Fahrzeuge und Anhänger. Für die Auswertung bitte berücksichtigen, dass die Fahrzeugzahlen auch Firmenfahrzeuge (Flottenfahrzeuge) umfassen.FAQ-Hinweis zu den Errechnung der Gesamtzahlen: Die jeweilige Gesamtzahl ergibt sich nicht nur durch monatliche Summen. Gerechnet werden auch Abmeldungen von Fahrzeugen bis zum jeweiligen Monatsende, was eine bereinigte Gesamtzahl ergibt.",c6671997-01d4-4b29-b6d0-6924b8ba253f,Creative Commons CC Zero License (cc-zero),Verkehr,2020-01-22T11:02:52.919880,Bonn,https://open.nrw/dataset/bestandszahlen-fahrzeugzulassungen-kfz-2018-bn
IST-Daten Bus und Bahn ÖPNV Realtime,ÖPNV - Sollfahrdaten,ÖPNV,Sollfahrdaten,"Der Verkehrsverbund Rhein-Sieg stellt Echtzeitdaten als OpenService mit einer Nutzungsvereinbarung im Format GTFS-RT bereit. Die Auslieferung der Echtzeitdaten erfolgt als kompletter Datenabzug jede Minute. Ausgeben werden die Daten im Protokoll-Buffer Format als Binärdaten oder im „Klartext“ als txt-Datei. Die Echtzeitdaten für Bus-, Straßen- und Stadtbahn sind für Fahrzeuge dieser Verkehrsbetriebe verfügbar:<br /><br />•	SWB - Stadtwerke Bonn Verkehrs GmbH <br />•	RSVG - Rhein-Sieg-Verkehrsgesellschaft mbH <br />•	RVK - Regionalverkehr Köln GmbH <br />•	REVG – Rhein-Erft-Verkehrsgesellschaft mbH <br />•	SVH – Stadtwerke Hürth AöR <br />•	SVE – Stadtverkehr Euskirchen GmbH <br />•	SWW – Stadtwerke Wesseling GmbH <br />•	StWB – Stadtwerke Brühl GmbH <br />•	KGW – Kraftverkehr Gebrüder Wiedenhoff",d1ee4c33-dd6b-47bd-b7a6-39181196f0fe,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:02:48.697916,Bonn,https://open.nrw/dataset/ist-daten-bus-und-bahn-oepnv-realtime-bn
Passantenfrequenzen Einzelhandelslagen Tagesaktuell,Individualverkehr - Messtellen,Individualverkehr,Messstellen,"hystreet.com stellt Passantenfrequenzen an drei innerstädtischen Einzelhandelslagen in Bonn tagesaktuell als OpenService Verfügung. Die Daten werden anonymisiert per Laserscanner erhoben und messen 24 Stunden pro Tag, 7 Tage die Woche.Die Passantenfrequenz ist ein wichtiger Indikator für die Attraktivität einer Innenstadt. Egal ob Einzelhändler, Investor, Stadt-, Verkehrsplaner, Handelsforscher oder Innenstadtbesucher, verschiedenste Akteure profitieren von Passantenfrequenzdaten. Der Datenbestand steht ebenfalls unter https://hystreet.com/ zur Verfügung. ",6d4014c8-4f9b-4af4-908e-c351f52de220,Creative Commons Namensnennung (CC-BY),"Verkehr,Wirtschaft und Finanzen",2020-01-22T11:02:44.315082,Bonn,https://open.nrw/dataset/passantenfrequenzen-einzelhandelslagen-tagesaktuell-bn
Haushaltssatzung 2019 2020,Haushalt - Satzung,Haushalt,Satzung,Haushaltssatzung der Bundesstadt Bonn für das Haushaltsjahr 2019/2020. Die Haushaltssatzung ist die Rechtsgrundlage für die Umsetzung des Haushaltsplans in der kommunalen Verwaltung.,07ba0dbd-67c4-4dcb-a579-dac07f0fa2e4,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:02:36.800976,Bonn,https://open.nrw/dataset/haushaltssatzung-2019-2020-bn
Produktpläne der Stadtbezirke 2019 2020,Haushalt - Produktpläne,Haushalt,Produktpläne,Abrufbar sind die Produktpläne zum Haushalt der Stadt Bonn. Die Übersichten sind eine gesonderte Zusammenfassung der Produktpläne getrennt für die jeweiligen Stadtbezirke.,3acd1945-73ff-4617-8676-cefadc20a8aa,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:02:28.883842,Bonn,https://open.nrw/dataset/produktplaene-der-stadtbezirke-2019-2020-bn
Produktplan NKF Gesamtplan 2019 2020,Haushalt - Produktpläne,Haushalt,Produktpläne,Der NKF-Gesamtplan (Neues Kommunales Finanzmanagement) der Bundesstadt Bonn,ed4176a0-ccb7-4246-a3da-3a217891caab,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:02:20.872703,Bonn,https://open.nrw/dataset/produktplan-nkf-gesamtplan-2019-2020-bn
Stellenplan 2019 2020,Personal - Stellenplan,Personal,Stellenplan,Stellenplan der Stadtverwaltung Bonn für die Jahre 2019 und 2020.,56aab39f-efa7-44e7-a7cb-670c7e5ded6e,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:02:12.819594,Bonn,https://open.nrw/dataset/stellenplan-2019-2020-bn
Eckdaten des Haushaltes 2018 2019,Haushalt - Eckdaten,Haushalt,Eckdaten,Zusätzliche Übersichten zum städtischen Haushalt für die Jahre 2019 und 2020.,132d354c-a8f2-4191-a6d9-4e3a6fac931c,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-22T11:02:04.255837,Bonn,https://open.nrw/dataset/eckdaten-des-haushaltes-2018-2019-bn
Nextbike Mieträder Positionen Realtime - Fahrradmietsystem,Radverkehr - Messstellen,Radverkehr,Messstellen,"Die API liefert eine georeferenzierte Auflistung der aktuellen Standorte von abgestellten Fahrräder des Fahrrad-Mietsystems (Stadtwerke Bonn und nextbike) in Echtzeit für das Bonner Stadtgebiet aus. Hinweis: Dienste, welche die bereitgestellten Daten in einem Intervall kleiner 10 Minuten abrufen, werden gesperrt. Zu den Fahrradpositionen sind zusätzlich auch die Mietstandorte als API verfügbar. Weitere Informationen: https://www.nextbike.de/de/bonn/information/#",f5a2e286-f49f-4a84-afc1-ee4cdbcaaec4,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:01:56.177253,Bonn,https://open.nrw/dataset/nextbike-mietraeder-positionen-realtime-fahrradmietsystem-bn
Nextbike Standorte Fahrradmietsystem,Radverkehr - Fahrräder,Radverkehr,Fahrräder,Die API enthält eine georeferenzierte Auflistung der Verleihstationen/ Fahrradmietstandorte der Stadtwerke Bonn/ nextbike im Bonner Stadtgebiet. Hinweis: Die Positionen der Mieträder sind auch als Open Data-API verfügbar.Die Mieträder werden nach Gebrauch wieder an einer der u.a. Stationen zurückgebracht. Alternativ besteht die Möglichkeit das Mietrad in der Stadt abzustellen. Mitarbeiter von nextbike orten/tracken die Position der Mieträder und stellen sie an eine der festen Stationen für neue Kunden wieder zur Verfügung. Weitere Informationen: https://www.nextbike.de/de/bonn/information/#,907eb88b-02fd-4415-b7a7-4d81a4e464a4,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:01:52.055315,Bonn,https://open.nrw/dataset/nextbike-standorte-fahrradmietsystem-bn
Verwarn- und Bußgelder ruhender Verkehr (Parkverstöße) 2018,Individualverkehr - Bußgelder,Individualverkehr,Bußgelder,"Der Datensatz enthält die erteilten Verwarn- und Bußgelder (Knöllchen) bei Parkverstößen im Bonner Stadtgebiet. Die Liste der Ordnungswidrigkeiten ist sortiert nach Tattag, Tatzeit, Ort, Tatbestandssnummer, Höhe der Geldbuße und Fahrzeugart (PKW/ LKW). Die Erklärung zu den einzelnen Tatbestandsnummern sind im bundeseinheitlichen Tatbestandskatalog aufgelistet: https://www.kba.de/",fa29048b-e3b2-4306-95ff-6ce4b2aaf2a0,Creative Commons CC Zero License (cc-zero),Verkehr,2020-01-22T11:01:47.885352,Bonn,https://open.nrw/dataset/verwarn-und-bussgelder-ruhender-verkehr-parkverstoesse-2018-bn
Bußgelder fließender Verkehr 2018,Individualverkehr - Bußgelder,Individualverkehr,Bußgelder,"Der Datensatz enthält die Verwarn- und Bußgelder der Geschwindigkeitsübertretungen (fließenden Straßenverkehr) im Bonner Stadtgebiet. Die Liste der Ordnungswidrigkeiten umfasst Angabe zum Tag, Ort, Zeit, Tatbestandsnummer und Verwarn- und Bußgeldhöhe für den Zeitraum 2018. Die Erklärung zu den einzelnen Tatbestandsnummern sind im bundeseinheitlichen Tatbestandskatalog aufgelistet: https://www.kba.de/",eb68aed8-c46c-4192-bc93-5af658799ba1,Creative Commons CC Zero License (cc-zero),Verkehr,2020-01-22T11:01:43.806451,Bonn,https://open.nrw/dataset/bussgelder-fliessender-verkehr-2018-bn
Vornamen von Neugeborenen im Jahr 2018,Bevölkerung - Vornamen,Bevölkerung,Vornamen,"Der Datensatz enthält die Vornamen von Neugeborenen im Bonner Stadtgebiet im Jahr 2018. Die Liste umfasst Vornamen, Anzahl und Angabe zum Geschlecht und eine Namensrangliste mit Kindern mit mehreren Vornamen. Bitte beachten Sie bei der Datenauswertung, dass die CSV und JSON Daten die Summe alle Vornamen umfassen, also vom 1. bis zum 6. Vornamen eines Kindes. Die Rangliste zeigt die Anzahl vom 1. bis zum 6. Vornamen jeweils getrennt. Bitte beachten Sie, dass die hier zusammengestellten Zahlen sich nicht allein auf Bonner Bürgerinnen und Bürger beziehen. Es handelt sich vielmehr um Geburten, Sterbefälle und Eheschließungen (sowohl von Einheimischen als auch von Menschen aus anderen Städten und Ländern), die IN Bonn beurkundet wurden.",aa531e1b-9e6f-411a-b6a8-196a3b6a1bee,Creative Commons CC Zero License (cc-zero),Bevölkerung und Gesellschaft,2020-01-22T11:01:39.614809,Bonn,https://open.nrw/dataset/vornamen-von-neugeborenen-im-jahr-2018-bn
Abfallplaner Müllabfuhrtermine 2019,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,"Auflistung der Müllabfuhrtermine der bonnorange AöR für die Rest-, Bio-, Papiertonne, Grüner Punkt und Sperrmüll im Stadtgebiet Bonn für das Jahr 2019.",21d92399-c606-49a1-9cd6-40a5d87fd047,Creative Commons Namensnennung (CC-BY),Umwelt,2020-01-22T11:01:30.022909,Bonn,https://open.nrw/dataset/abfallplaner-muellabfuhrtermine-2019-bn
Auswertung Kundendialog Stadtwerke Bonn Bus und Bahn 2018 2019,Stadtwerke - Information,Stadtwerke,Information,Auswertung Fahrgastresonanz Bus und Bahn der Stadtwerke Bonn.,ba7fba4d-ef37-4336-9ab5-a3eee708dada,Creative Commons Namensnennung (CC-BY),Verkehr,2020-01-22T11:01:25.184217,Bonn,https://open.nrw/dataset/auswertung-kundendialog-stadtwerke-bonn-bus-und-bahn-2018-2019-bn
Standorte Elektrotankstellen E-Ladesäulen Realtime-Belegung,Infrastruktur - Elektrotankstellen,Infrastruktur,Elektrotankstellen,"Die API liefert Echtzeitdaten zum Status/ Verfügbarkeit/ Belegung der E-Ladesäulen (Elektrotankstellen) im Bonner Stadtgebiet. Ausgegeben werden die Standorte des Betreibers Stadtwerke Bonn/ Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH mit Geoinformationen zum Standort sowie Angaben zum Standard, Power-Typ, Ampere und Volt.",0d701d4a-1255-4301-b362-d08f375e8e1a,Creative Commons Namensnennung (CC-BY),"Umwelt,Verkehr",2020-01-22T11:01:20.782290,Bonn,https://open.nrw/dataset/standorte-elektrotankstellen-e-ladesaeulen-realtime-belegung-bn
Passantenfrequenzen Einzelhandelslagen Jahresdaten,Individualverkehr - Messtellen,Individualverkehr,Messstellen,"hystreet.com stellt Passantenfrequenzen an drei innerstädtischen Einzelhandelslagen in Bonn als Open Data zur Verfügung. Die Daten werden anonymisiert per Laserscanner erhoben und messen 24 Stunden pro Tag, 7 Tage die Woche. <br /><br />Die Passantenfrequenz ist ein wichtiger Indikator für die Attraktivität einer Innenstadt. Egal ob Einzelhändler, Investor, Stadt-, Verkehrsplaner, Handelsforscher oder Innenstadtbesucher, verschiedenste Akteure profitieren von Passantenfrequenzdaten. Der Datenbestand steht ebenfalls tagesaktuell als OpenService unter https://hystreet.com/ zur Verfügung. <br /><br />Nutzungsbedingungen<br /><br />Es ist das Ziel der hystreet.com GmbH, diese Passantenfrequenzen allen Interessierten zur Verfügung zu stellen. Die Messergebnisse werden nach bestem Wissen und Gewissen bereit gestellt. Eine Gewähr für die Richtigkeit der Daten sowie für die permanente und künftige Verfügbarkeit wird nicht übernommen. Auf dem Open Data-Portal werden die Daten in Abständen aktualisiert. Es sind auch tagesaktuelle Daten bei hystreet.com direkt abrufbar. Es gelten die AGBs nach https://hystreet.com/agb <br /><br />6. Nutzung der Passantenfrequenzdaten<br /><br />6.1 Die Rechte an unserem Informationssystem und den zugrundeliegenden Datensammlungen über Passantenfrequenzmessungen stehen der hystreet.com GmbH zu. Die hystreet.com GmbH ist Datenbankherstellerin im Sinne des § 87a Abs. 2 UrhG.<br /><br />6.2 Bei der Weiterverwendung der Daten aus Exportdateien ist hystreet.com als Quellenangabe zu zitieren. Eine entgeltliche Weiterveräußerung der Exportdaten bedarf der vorherigen schriftlichen Einwilligung der hystreet.com GmbH.<br /><br />",2a7e99cd-58da-458f-99a6-1ddb119b346a,Creative Commons Namensnennung (CC-BY),"Verkehr,Wirtschaft und Finanzen",2020-01-22T11:01:12.230643,Bonn,https://open.nrw/dataset/passantenfrequenzen-einzelhandelslagen-jahresdaten-bn
