"ORG","MUSTERDATENSATZ","THEMA","BEZEICHNUNG","ART","LEIKA"," KGST","NRW","Kategorie","dcat:theme","dct:title","dct:description","dcat:landingPage","dct:identifier","dcat:Distribution.dct:license","dct:publisher foaf:Agent"
"Stadt Bonn","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Elektrokleingeräte Standorte von Sammelstellen","Die API gibt die Standorte der Elektrokleingeräte Sammelstellen (Rote Tonnen) der bonnorange AöR im Stadtgebiet Bonn aus.","https://opendata.bonn.de/dataset/elektrokleinger%C3%A4te-standorte-von-sammelstellen","24d211ff-fa05-46db-935b-1440d000b41d","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Köln","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Sammelstellen für Weihnachtsbäume in Köln","<p><span style=""color:rgb(77, 77, 77); font-family:helvetica neue,helvetica,arial,sans-serif"">Alle Sammelstellen für Weihnachtsbäume werden in der unten stehenden Ressource aufgeführt. Falls Ihr Wohnblock auf eigene Initiative Sammelplätze anbietet, bitten wir die Hausmeister und Verwalter, unserenÂ </span><a href=""http://www.awbkoeln.de/unternehmen/kontakt/"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; line-height: 18px; color: rgb(204, 0, 0); text-decoration: none;"" target=""_blank"" title=""Kundenservice"">Kundenservice</a><span style=""color:rgb(77, 77, 77); font-family:helvetica neue,helvetica,arial,sans-serif"">Â per Mail zu informieren.</span></p>
","https://offenedaten-koeln.de/dataset/sammelstellen-f%C3%BCr-weihnachtsb%C3%A4ume-k%C3%B6ln","e12e1fd5-8d7d-42cd-8b38-e0e19b7624e4","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Schadstoff-Mobil in Köln","<p>Das Schadstoff-Mobil steht regelmäßig in jedem Veedel.</p>

<p>Zusätzlich können schadstoffhaltige Abfälle jederzeit bei den Sammelstellen derÂ <a href=""http://www.awbkoeln.de/private-haushalte/abfall-trennen-entsorgen/wertstoff-center/"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-family: inherit; font-size: inherit; font-style: inherit; font-variant: inherit; line-height: inherit; color: rgb(204, 0, 0); text-decoration: none;"" target=""_blank"" title=""Wertstoff-Center"">Wertstoff-Center</a>Â entsorgt werden.</p>

<p><strong>Hinweis: Bitte informieren Sie sich immer tagesaktuell über die Schadstofftermine. Änderungen sind vorbehalten</strong></p>
","https://offenedaten-koeln.de/dataset/schadstoff-mobil-k%C3%B6ln","1dd8e210-85f2-4eb6-8a3f-b52b52f1f39a","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Wertstoff-Center in Köln","<p>Abfälle können in haushaltsüblichen Mengen an diese Wertstoff-Center gebracht werden.</p><p>Wir nehmen an:</p><ul><li>Sperrmüll, Elektroaltgeräte, Metalle, Papier/Pappe, Schadstoffe, Bauschutt</li><li>Kostenlose Annahme von haushaltsüblichen Mengen an Altkleidern, CDs/DVDs, Elektro-Altgeräten, Grünschnitt, Leichtverpackungen, Metall, Papier, Pappe/Kartonagen, Schadstoffen und Sperrmüll</li><li>Kostenpflichtige Annahme von Bauschutt in Kleinmengen (Gewerbeschadstoffe nur in Ossendorf)</li></ul><p>Wir nehmen nicht an:</p><p>Asbest, Dämmmaterial, Außenhölzer, Teerpappe</p><ul><li>Sprengstoff, Munition</li><li>Gasflaschen</li><li>Â Infektiöses Material, Tierkadaver</li><li>Â Motoren, Getriebeöle</li><li>Gewerbeschadstoffe</li></ul>","https://offenedaten-koeln.de/dataset/wertstoff-center-k%C3%B6ln","e347aedd-ba4a-4987-8fdb-b6ff22871a84","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Bonn","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Wert- und Schadstoffsammelstellen","Die API gibt die die Standorte der Wert- und Schadstoffsammelstellen der bonnorange AöR in Bonn aus.","https://opendata.bonn.de/dataset/wert-und-schadstoffsammelstellen","392db819-f7b7-4867-9f77-ff15a5e3fd20","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Beteiligungen","Abfallwirtschaft","Beteiligungen","Bericht","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Berichte der bonnorange AöR","Die Berichte enthalten Daten und Entwicklungen des Wirtschaftsjahres des Dienstleistungsunternehmens für Abfallwirtschaft und Stadtreinigung bonnorange AöR zu bestimmten Auswertungsstichtagen.","https://opendata.bonn.de/dataset/berichte-der-bonnorange-a%C3%B6r","2f8c1bc3-5a5f-4d20-8f44-262008adcd4f","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Köln","Abfallwirtschaft - Betriebe","Abfallwirtschaft","Betriebe","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: AWB Hauptverwaltung","<p>AWB Abfallwirtschaftsbetriebe Köln GmbH</p>
","https://offenedaten-koeln.de/dataset/awb-hauptverwaltung","802b955b-554a-4099-a933-999874fc9191","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Altkleider-Container in Köln","<p><span style=""color:rgb(77, 77, 77); font-family:helvetica neue,helvetica,arial,sans-serif"">Die Standortliste zeigt an, wo Altkleiderspenden abgegeben werden können. Sie gibt Auskunft über die Standorte der Altkleider-Container der Stadt Köln und der AWB.</span></p>
","https://offenedaten-koeln.de/dataset/altkleider-container-k%C3%B6ln","4b6c92ff-648c-41aa-a9e1-19b8c9c637af","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Kleiderkammern in Köln","<p>In Köln gibt es zahlreiche Bedürftige, die auf Kleiderspenden angewiesen sind. Hilfsorganisationen und Kleiderkammern in Köln bieten gemeinnützige Projekte an, um hilfebedürftige Personen in Kölns Veedeln zu unterstützen.</p>

<p>Hier finden Sie eine Übersicht gemeinnütziger Einrichtungen, die gerne Ihre Altkleider-Spende entgegennehmen.</p>

<p><strong>Information:</strong></p>

<p><strong>Vorsicht ist bei unbekannten Sammlungen geboten. Einige illegale Sammler versuchen den Eindruck zu erwecken, dass gemeinnützige Organisationen hinter ihrer Sammlung stehen. Wenn Sie sich unsicher sind, ob es sich um eine legale, gemeinnützige Sammlung handelt, melden Sie sich bei der der</strong>Â <a href=""http://www.altkleiderkoeln.de/kontaktservice.html"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; font-family: inherit; font-size: inherit; font-style: inherit; font-variant: inherit; line-height: inherit; color: rgb(204, 0, 0); text-decoration: none;"" target=""_blank"" title=""Stadt Köln""><strong>Stadt Köln</strong></a><strong>.</strong></p>

<p>Wo Sie Kleiderspenden in Köln abgeben können, finden Sie in dieser Datei.</p>
","https://offenedaten-koeln.de/dataset/kleiderkammern-k%C3%B6ln","963d5796-093f-4667-bc30-e98135fc9220","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Bonn","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Altglascontainer Standorte","Die API gibt die Standorte der Altglascontainer in Bonn aus.","https://opendata.bonn.de/dataset/altglascontainer-standorte","2e7b1c15-8178-4493-a353-95193bfb2cff","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Alttextilcontainer Standorte","Die API liefert die Standorte der Alttextilcontainer  der bonnorange AöR und des gemeinnützigen Vereins ARGE im Stadtgebiet Bonn.","https://opendata.bonn.de/dataset/alttextilcontainer-standorte","7ca997a9-4b20-404f-9974-da8735ef6633","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Altpapiercontainer Standorte","Die API liefert die Standorte der Altpapiercontainer in Bonn.
","https://opendata.bonn.de/dataset/altpapiercontainer-standorte","5ae6b48d-1070-4ae5-a725-9d48ebe35aef","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Moers","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Moers: Containerstandorte in Moers","Der Datensatz enthält die Geodaten (in WGS 84 Auf städtischem Grundbesitz) zu den Containerstandorten in Moers.
Hinweis: Einige wenige Standorte in der Datei sind nicht mehr aktuell. Der Datensatz wird aktualisiert.","http://www.offenedaten.moers.de","faea8cd6-5cd7-400c-be08-7822ef094946","http://dcat-ap.de/def/licenses/dl-zero-de/2.0","ENNI Stadt & Service"
"Stadt Bonn","Abfallwirtschaft - Container","Abfallwirtschaft","Container","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Standorte der Grüncontainer","Der Datensatz liefert die Standorte der mobilen (temporäre Angebote vor Ort mit Wochentag, Uhrzeit) und stationäre Grüncontainer der bonnorange AöR im Bonner Stadtgebiet. Bitte beachten Sie, dass einige stationäre Standorte in den Wintermonaten nicht zur Nutzung zur Verfügung stehen.","https://opendata.bonn.de/dataset/standorte-der-gr%C3%BCncontainer","e8d323d3-8b3e-4414-ab6f-060f348dea37","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Entwässerung","Abfallwirtschaft","Entwässerung","Detail/Rohdaten","532.03","532.03","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Kennzahlen zur Stadtentwässerung 2015","Kennzahlen zum Bonner Gewässer, Kanalnetz und Kläranlagen sowie das Betriebsergebnis für den Bereich der Stadtentwässerung.","https://opendata.bonn.de/dataset/kennzahlen-zur-stadtentw%C3%A4sserung-2015","d02e9706-af6b-4f53-8681-e11b3e74c562","http://dcat-ap.de/def/licenses/cc-zero","Stadt Bonn"
"Stadt Bonn","Abfallwirtschaft - Entwässerung","Abfallwirtschaft","Entwässerung","Detail/Rohdaten","532.03","532.03","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Kennzahlen zur Stadtenwässerung 2014","Kennzahlen zum Bonner Gewässer, Kanalnetz und Kläranlagen sowie das Betriebsergebnis für den Bereich der Stadtentwässerung.","https://opendata.bonn.de/dataset/kennzahlen-zur-stadtenw%C3%A4sserung-2014","480e731d-d3f4-473c-82f2-47ef0c473b58","http://dcat-ap.de/def/licenses/cc-zero","Stadt Bonn"
"Stadt Bonn","Abfallwirtschaft - Entwässerung","Abfallwirtschaft","Entwässerung","Detail/Rohdaten","532.03","532.03","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Kennzahlen zur Stadtentwässerung 2013","Kennzahlen zum Bonner Gewässer, Kanalnetz und Kläranlagen sowie das Betriebsergebnis für den Bereich der Stadtentwässerung.","https://opendata.bonn.de/dataset/kennzahlen-zur-stadtentw%C3%A4sserung-2013","049aebf6-95a1-425d-a868-59f4c27a2f40","http://dcat-ap.de/def/licenses/cc-zero","Stadt Bonn"
"Stadt Bonn","Abfallwirtschaft - Gremien","Abfallwirtschaft","Gremien","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Sitzungen des Verwaltungsrates bonnorange AöR","Übersicht mit den Vorlagen zu Einladungen und Niederschriften der öffentlichen Sitzungen des Verwaltungsrates. Der direkte Zugang zu Einzeldokumenten befindet sich in Vorbereitung.","https://opendata.bonn.de/dataset/sitzungen-des-verwaltungsrates-bonnorange-a%C3%B6r","897d3965-cf34-4656-bffb-a1f859c39463","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Müllabfuhr","Abfallwirtschaft","Müllabfuhr","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Abfallplaner Müllabfuhrtermine 2016","Auflistung der Müllabfuhrtermine der bonnorange AöR für die Rest-, Bio-, Papiertonne, Grüner Punkt und Sperrmüll im Stadtgebiet Bonn.","https://opendata.bonn.de/dataset/abfallplaner-m%C3%BCllabfuhrtermine-2016","80f6a236-6479-4ddc-b3e9-4029d5350b3d","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Müllabfuhr","Abfallwirtschaft","Müllabfuhr","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Abfallplaner Müllabfuhrtermine 2017","Auflistung der Müllabfuhrtermine der bonnorange AöR für die Rest-, Bio-, Papiertonne, Grüner Punkt und Sperrmüll im Stadtgebiet Bonn.","https://opendata.bonn.de/dataset/abfallplaner-m%C3%BCllabfuhrtermine-2017","8ee1e1e9-ee6d-4148-98be-4835272f4132","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Müllabfuhr","Abfallwirtschaft","Müllabfuhr","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Abfallplaner Müllabfuhrtermine 2018","Auflistung der Müllabfuhrtermine der bonnorange AöR für die Rest-, Bio-, Papiertonne, Grüner Punkt und Sperrmüll im Stadtgebiet Bonn für das Jahr 2018.","https://opendata.bonn.de/dataset/abfallplaner-m%C3%BCllabfuhrtermine-2018","684f4f79-e661-4cba-8e37-e0850e5e33ed","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Stadt Bonn","Abfallwirtschaft - Müllabfuhr","Abfallwirtschaft","Müllabfuhr","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Bonn: Abfallplaner Müllabfuhrtermine 2015","Gelistet sind die Müllabfuhrtermine, welche nach Straßenzügen abschnittsweise sortiert sind.","https://opendata.bonn.de/dataset/abfallplaner-m%C3%BCllabfuhrtermine-2015","d73a72b2-7590-474b-8e08-c72d120bd764","http://dcat-ap.de/def/licenses/cc-by","bonnorange AöR"
"Landeshauptstadt Düsseldorf","Abfallwirtschaft - Müllgebühren","Abfallwirtschaft","Müllgebühren","Detail/Rohdaten","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Müllgebühren der Stadt Düsseldorf","<p>Der Datensatz enthält die Müllgebühren – getrennt nach Abfallart - für die Stadt Düsseldorf.</p>

<p>Die Stadt Düsseldorf ist für die Entsorgung der Abfälle aus privaten Haushalten verantwortlich. Die Entsorgung und Sammlung der Abfälle führt die AWISTA GmbH im Auftrag der Stadt durch.</p>

<p>Die Gebühren der Abfallentsorgung werden durch den Rat beschlossen. Sie dienen nicht nur zur Finanzierung der Müllabfuhr, sondern auch einer Vielzahl an weiteren Serviceleistungen rund um die Entsorgung von Abfällen.</p>

<p>In Düsseldorf stehen vier Tonnen zur Verfügung:</p>

<p>Braune Tonne für Bioabfälle,</p>

<p>Blaue Tonne für Papier,</p>

<p>Gelbe Tonne für Wertstoffe,</p>

<p>Graue Tonne für Restmüll.</p>

<p>Die Entsorgung der gelben Tonne ist gebührenfrei und erfolgt im 14-Tage-Rhythmus.</p>

<p>Die Papiertonnen werden 14-täglich geleert und sind im Vollservice gebührenpflichtig, im Teilservice gebührenfrei.</p>

<p>Die Biotonnen werden 14-täglich gebührenpflichtig geleert.</p>

<p>Die Restmüllentsorgung erfolgt im Vollservice. Für die Stadtteile Wittlaer, Kalkum, Angermund, Unterbach und Hubbelrath wurden Teilservicegebiete gebildet, für die es einen festen Abschlag auf die Leistungsgebühr gibt.</p>

<p>Die Abfuhr der Bio- und Papiertonnen kann im gesamten Stadtgebiet im Voll- bzw. Teilservice erfolgen, wenn ein entsprechender Antrag genehmigt wurde.</p>

<p>Beim Teilservice sind die 60 l – 240 l-Sammelbehälter zu den Leerungszeiten in nicht verkehrsbehindernder Weise im Straßenraum aufzustellen. Falls dieses nicht rechtzeitig am Tag der Leerung möglich ist, dürfen die Sammelbehälter bereits am Vortag der Leerung ab 20 Uhr entsprechend aufgestellt werden.</p>

<p>Weitere Informationen zum Thema Abfallentsorgung und Abfallvermeidung finden Sie auf der Seite des <a href=""https://www.duesseldorf.de/umweltamt/umweltthemen-von-a-z/abfall.html"" target=""_blank"">Umweltamtes</a>.</p>
","https://opendata.duesseldorf.de/dataset/m%C3%BCllgeb%C3%BChren-der-stadt-d%C3%BCsseldorf","4b7cae66-84df-492a-a818-a1e105f9b4ee","http://dcat-ap.de/def/licenses/dl-by-de/2.0","Landeshauptstadt Düsseldorf"
